Issuer Ticker	main domain	Name	Sector	Location	Auswahl Eingetragener Marken
ASML	asml.com	ASML HOLDING NV	Information Technology	Netherlands	TWINSCAN; YieldStar; PAS 5500; NXE; EXE; EUV; Brion; Cymer; HMI; DUV
SAP	sap.com	SAP	Information Technology	Germany	SAP; SAP HANA; Ariba; Concur; SuccessFactors; Fieldglass; S/4HANA; BusinessObjects; Fiori; BTP
NESN	nestle.com	NESTLE SA	Consumer Staples	Switzerland	KitKat; Nescafé; Maggi; Nesquik; Purina; Nespresso; Milo; Smarties; Gerber; Perrier
NOVO B	novonordisk.com	NOVO NORDISK CLASS B	Health Care	Denmark	Ozempic; Victoza; Wegovy; Tresiba; Levemir; NovoRapid; Fiasp; Saxenda; Xultophy; Rybelsus
NOVN	novartis.com	NOVARTIS AG	Health Care	Switzerland	Cosentyx; Entresto; Zolgensma; Kisqali; Tasigna; Gilenya; Lucentis; Diovan; Voltaren; Ritalin
ROG	roche.com	ROCHE HOLDING PAR AG	Health Care	Switzerland	Avastin; Herceptin; Ocrevus; Tecentriq; Tamiflu; Actemra; Kadcyla; Perjeta; Xofluza; Valium
AZN	astrazeneca.com	ASTRAZENECA PLC	Health Care	United Kingdom	Tagrisso; Farxiga; Symbicort; Brilinta; Imfinzi; Lynparza; Calquence; Saphnelo; Fasenra; Enhertu
SHELL	shell.com	SHELL PLC	Energy	United Kingdom	Shell; Pennzoil; Quaker State; Rotella; Jiffy Lube; Rimula; Helix; V-Power; Shell Recharge; Shell Energy
HSBA	hsbc.com	HSBC HOLDINGS PLC	Financials	United Kingdom	HSBC; Hang Seng; HSBC Premier; HSBC Advance; HSBC Jade; HSBCnet; PayMe; HSBC Fusion; Global View
SIE	siemens.com	SIEMENS N AG	Industrials	Germany	SIMATIC; MindSphere; SINEC; SINAMICS; TIA Portal; NX; Teamcenter; Solid Edge; Desigo
ULVR	unilever.com	UNILEVER PLC	Consumer Staples	United Kingdom	Dove; Knorr; Ben & Jerry’s; Axe/Lynx; Hellmann’s; Magnum; Lifebuoy; Rexona; Lipton; Surf
ALV	allianz.com	ALLIANZ	Financials	Germany	Allianz; PIMCO; Allianz Trade; Allianz Direct; Allianz Partners; Allianz Global Investors; Allianz X; Europa-DIALOG; Fireman’s Fund; Mondial Assistance
SU	se.com	SCHNEIDER ELECTRIC	Industrials	France	APC; Square D; Triconex; Clipsal; Modicon; Foxboro; Wonderware; EcoStruxure; Pelco; Telemecanique
TTE	totalenergies.com	TOTALENERGIES	Energy	France	TotalEnergies; ELF; Quartz; Rubia; Excellium; Activa; Azolla; Traction Premier; Antar; Finavestan
MC	lvmh.com	LVMH	Consumer Discretionary	France	Louis Vuitton; Dior; Givenchy; Sephora; Hennessy; Moët & Chandon; Bulgari; Fendi; Celine; Loewe
DTE	telekom.com	DEUTSCHE TELEKOM N AG	Communication	Germany	Deutsche Telekom; T-Mobile; Magenta; Congstar; T-Systems; MagentaTV; StreamOn; Telekom Sport; Telekom Cloud; T-Online
SAN	santander.com	BANCO SANTANDER SA	Financials	Spain	Santander; Openbank; Santander Consumer; Grupo Santander; EasyBank; Santander SmartBank; PagoFX; Superdigital; Santander Trade; Santander X
AI	airliquide.com	LAIR LIQUIDE SOCIETE ANONYME POUR	Materials	France	Air Liquide; Alphagaz; Arcal; Lasal; Floxal; Maxicyl; Enviro-Cal; AcuBlend; VitalAire; Seppic
SANO	sanofi.com	SANOFI SA	Health Care	France	Dupixent; Lantus; Plavix; Aubagio; Allegra; Toujeo; Kevzara; Menactra; Jevtana; Nasacort
IBE	iberdrola.com	IBERDROLA SA	Utilities	Spain	Iberdrola; ScottishPower; Avangrid; Neoenergia; Elektro; I-DE; Iberdrola Renovables; Iberdrola Ingeniería; Ailes Marines; Boreas Offshore Wind
SAF	safran-group.com	SAFRAN SA	Industrials	France	SAFRAN; CFM; LEAP; ARRIEL; ARRIUS; SILVERCREST; M88; VIGI; HERCULE; SPARCS
AIR	airbus.com	AIRBUS GROUP	Industrials	France	AIRBUS; A320; A350; A380; A220; BELUGA; SKYWISE; AIRBUS HELICOPTERS; H145; TIGER
UCG	unicreditgroup.eu	UNICREDIT	Financials	Italy	UNICREDIT; FINECO; HYPOVEREINSBANK; BANK AUSTRIA; BUDDYBANK; CEE BANKWATCH; GENIUS CARD; CLICKABANK; QUICKLOAN; PEOPLE+
OR	loreal.com	LOREAL SA	Consumer Staples	France	L’ORÉAL PARIS; MAYBELLINE; GARNIER; VICHY; LA ROCHE-POSAY; KIEHL’S; LANCÔME; PUREOLOGY; CERAVE; REDKEN
UBSG	ubs.com	UBS GROUP AG	Financials	Switzerland	UBS; UBS WEALTH WAY; UBS KEY; UBS WMA; OLMA; UBS e-banking; UBS FOCUS; LIFE’S KEY; UBS OPTIO; UBS HOUSE VIEW
RR.	rolls-royce.com	ROLLS-ROYCE HOLDINGS PLC	Industrials	United Kingdom	ROLLS-ROYCE; TRENT; POWER BY THE HOUR; EJ200; MTU-RR; PEARL; AE 3007; ULTRAFAN; M250; RR MONOGRAM
ZURN	zurich.com	ZURICH INSURANCE GROUP AG	Financials	Switzerland	ZURICH; ZURICH EDGE; Z-FLEX; Z-TRADE; Z-BUILD; Z-CYBER; Z-ENGINE; Z-LIFE; Z-CARE; Z-WEATHER
CFR	richemont.com	COMPAGNIE FINANCIERE RICHEMONT SA	Consumer Discretionary	Switzerland	CARTIER; MONTBLANC; IWC; PANERAI; PIAGET; VAN CLEEF & ARPELS; BAUME & MERCIER; JAEGER-LECOULTRE; A. LANGE & SÖHNE; CHLOÉ
REL	relx.com	RELX PLC	Industrials	United Kingdom	LEXIS; NEXIS; ELSEVIER; REED EXHIBITIONS; SCIENCEDIRECT; KNOVEL; MDM; TOTALPATENT; ACCURINT; ICIS
BATS	bat.com	BRITISH AMERICAN TOBACCO	Consumer Staples	United Kingdom	LUCKY STRIKE; PALL MALL; DUNHILL; KENT; VUSE; VELO; GLO; ROTHMANS; CAPSTAN; CRAVEN «A»
BNP	group.bnpparibas	BNP PARIBAS SA	Financials	France	BNP PARIBAS; HELLO BANK!; CORTAL CONSORS; GREENLEAF; THE BANK FOR A CHANGING WORLD; ARVAL; CARDIF; NICKEL; WEALTH MANAGEMENT; EASYDD
ABBN	global.abb	ABB LTD	Industrials	Switzerland	ABB; ACS880; ROBOTSTUDIO; FLEXPICKER; SYMBIOS; RELION; LUMESSE; POWERGRIDS; ADVANT; ABB ABILITY
RMS	hermes.com	HERMES INTERNATIONAL	Consumer Discretionary	France	HERMÈS; BIRKIN; KELLY; HERMÈS PERFUME; CARRÉ H; H24; MÉDOR; CAPE COD; ARCEAU; FAUBOURG
CS	axa.com	AXA SA	Financials	France	AXA; AXA XL; AXA PARTNERS; AXA IM; AXA CLIMATE; SWIFT RELIEF; MY AXA; MEDLA; EASY POLICY; SMARTPROTECT
RHM	rheinmetall.com	RHEINMETALL AG	Industrials	Germany	RHEINMETALL; LYNX; PANTHER KF51; SKYSHIELD; ACTIVELY PROTECTED; HX3; CARACAL; FUCHS; MAUSER; RMMV
BBVA	bbva.com	BANCO BILBAO VIZCAYA ARGENTARIA SA	Financials	Spain	BBVA; BBVA WALLET; AZTEKIN; OPENPAY; BLUE BBVA; DINEROMOVIL; PROGRAMA ADELANTE; BBVA LINK; BBVA CASHUP; B-MY
MUV2	munichre.com	MUENCHENER RUECKVERSICHERUNGS-GESE	Financials	Germany	MUNICH RE; ERGO; HSB; MUNICH HEALTH; TRUE NORTH; CLIMATE SOLUTIONS; MR SHARE; NATCATSERVICE; MUNICH RE RISK TOOL; ALL FIN
EL	essilorluxottica.com	ESSILORLUXOTTICA SA	Health Care	France	RAY-BAN; OAKLEY; VARILUX; CRIZAL; LUXOTTICA; TRANSITIONS; COSTA DEL MAR; LENSCRAFTERS; PERSOL; AIRMASK
GSK	gsk.com	GLAXOSMITHKLINE	Health Care	United Kingdom	SENSODYNE; POLIDENT; PARADONTAX; VOLTAREN; PANADOL; HALSPLUS; NICORETTE; OTRIVIN; AUGMENTIN; SHINGRIX
BP.	bp.com	BP PLC	Energy	United Kingdom	BP; CASTROL; ARAL; WILD BEAN CAFÉ; BPME; ULTIMATE; VISTONIA; LUCOZADE*; INFINIA; AIR BP
DG	vinci.com	VINCI SA	Industrials	France	VINCI; VINCI ENERGIES; AXIANS; EUROVIA; COBRA; FOSBURY; SIXENSE; OMEXOM; NUVIA; VINCI AUTOROUTES
ISP	group.intesasanpaolo.com	INTESA SANPAOLO	Financials	Italy	INTESA SANPAOLO; ISP; FIDEURAM; BANCOPOLIS; FORVALUE; VHI LIFE; ISP CASA; ISP NOWBANKING; TURNO TUTELA; ISP IMPACT
BA.	baesystems.com	BAE SYSTEMS PLC	Industrials	United Kingdom	BAE SYSTEMS; TYPHOON; STRIKEMASTER; ASTRAEA; ADVENT; NAVWAR; RAPID3D; CYBERJET; PHASA-35; APOLLO FCS
LSEG	lseg.com	LONDON STOCK EXCHANGE GROUP PLC	Financials	United Kingdom	FTSE; FTSE RUSSELL; LCH; UNA VISTA; REFINTIV*; ELITE; TRADECHO; MTS; ORB; SEDOL
NG.	nationalgrid.com	NATIONAL GRID PLC	Utilities	United Kingdom	NATIONAL GRID; GROWTHGRID; TRANSGRID; SMART WIRING; FUTUREFLOW; POWER MASTER; HEAT PUMP READY; ENERGYWORKS; NGESO; VENTURE INTERCONNECT
ABI	ab-inbev.com	ANHEUSER-BUSCH INBEV SA	Consumer Staples	Belgium	BUDWEISER; BUD LIGHT; STELLA ARTOIS; CORONA (US rights); MICHELOB; BECK’S; HOEGAARDEN; LEFFE; NATURAL LIGHT; ZX VENTURES
PRX	prosus.com	PROSUS NV CLASS N	Consumer Discretionary	Netherlands	PROSUS; OLX; PAYU; iFOOD; SWIGGY; BYJU’S; AUTO1; DELIVERY HERO; EDUCATION FUTURES; FLIPKART
ENEL	enel.com	ENEL	Utilities	Italy	ENEL; ENEL X; ENEL GREEN POWER; ENDESA; OPEN FIBER; OPERATION FLEX; JUICEPASS; ELCHAIN; ENEL GO; MYCLEVER
ENR	siemens-energy.com	SIEMENS ENERGY N AG	Industrials	Germany	SIEMENS ENERGY; SPPA-T3000; SGT5; HL-CLASS; BLUE GIS; FREEDM; GRIDSTABIL; H2FUTURE; SIESTART; HMIPRO
INGA	ing.com	ING GROEP NV	Financials	Netherlands	ING; ING DIRECT; LION DEPOSIT; ORANJE LEEUW; ING INVEST; PAYVISION; YOLT; KUSTOS; MORTGAGE HUB; TWYP
LLOY	lloydsbankinggroup.com	LLOYDS BANKING GROUP PLC	Financials	United Kingdom	LLOYDS BANK; HALIFAX; BANK OF SCOTLAND; MBNA; BLACK HORSE; CLUB LLOYDS; ISAVE; CASHPLUS; SMART START; GROWTH FUND
HOLN	holcim.com	HOLCIM LTD AG	Materials	Switzerland	HOLCIM; LAFARGE; ECOPACT; AGILIA; ULTRA HIGH DURABLE; GEOCYCLE; SOLIDIA; FIRESTONE; SUSTENO; TECTOR
BARC	barclays.com	BARCLAYS PLC	Financials	United Kingdom	BARCLAYS; BARCLAYCARD; SMART INVESTOR; PINGIT; RINGFENCE; BLUE REWARDS; HIGH5; BSTART; LIFE SKILLS; WEBCHAT
RIO	riotinto.com	RIO TINTO PLC	Materials	United Kingdom	RIO TINTO; PILBARA; TOM PRICE; SIMFER; AMRUN; ARDI; MESA J; YANDICOOGINA; DIAMONDSMART; ARKENSTONE
CPG	compass-group.com	COMPASS GROUP PLC	Consumer Discretionary	United Kingdom	EUREST; CHARTWELLS; CANTEEN; ESS; MORRISON; FLIK; RESTAURANT ASSOCIATES; CULINA; KIMBELL; FOODBUY
DB1	deutsche-boerse.com	DEUTSCHE BOERSE AG	Financials	Germany	XETRA; DAX; EUREX; STOXX; 360T; QONTIGO; CLEARSTREAM; ISIN; ETFPLUS; ESG-X
ITX	inditex.com	INDUSTRIA DE DISENO TEXTIL INDITEX	Consumer Discretionary	Spain	ZARA; ZARA HOME; MASSIMO DUTTI; PULL&BEAR; BERSHKA; OYSHO; STRADIVARIUS; LEFTIES; UTMB; TEMPE
ADYEN	adyen.com	ADYEN NV	Financials	Netherlands	ADYEN; ADYEN CHECKOUT; MARKETPAY; ADYEN ISSUING; ADYEN ACCELERATOR; SCORE; PLATFORM PAYMENTS; ADYEN LINK; AUTOMATED RISK; ADYEN FINANCE
DGE	diageo.com	DIAGEO PLC	Consumer Staples	United Kingdom	JOHNNIE WALKER; GUINNESS; SMIRNOFF; BAILEYS; TANQUERAY; CAPTAIN MORGAN; CÎROC; DON JULIO; LAGAVULIN; KETEL ONE
SGO	saint-gobain.com	COMPAGNIE DE SAINT GOBAIN SA	Industrials	France	SAINT-GOBAIN; ISOVER; WEBER; CERTAINTEED; NORTON; PAM; SEKURIT; ADFORS; GYPROC; FIBERGLASS MAT
NWG	natwestgroup.com	NATWEST GROUP PLC	Financials	United Kingdom	NATWEST; RBS; ROYAL BANK OF SCOTLAND; ULSTER BANK; COUTTS; ENTWISTLE GREEN; MENTOR; MONEYSENSE; TYL; BANKLINE
DBK	db.com	DEUTSCHE BANK AG	Financials	Germany	DEUTSCHE BANK; DWS; X-TRACKERS; MAX BLUE; AUTOBANK; BLUEPORT; DEUTSCHE DIGITAL PAY; QUIK +; TALARIA; EBIL
III	3i.com	3I GROUP PLC	Financials	United Kingdom	3i; INFRASTRUCTURE; GROWTH CAPITAL; ELEMENT MATERIALS; ACTION; MAISON DU MONDE; CIRTEC; ONCE UPON A FARM; EVERISE; POLYGON
IFX	infineon.com	INFINEON TECHNOLOGIES AG	Information Technology	Germany	INFINEON; AURIX; XMC; OPTIGA; COOLESET; IGBT; CIPOS; EDDY; REAL3; MERUS
RACE	ferrari.com	FERRARI NV	Consumer Discretionary	Italy	FERRARI; SCUDERIA FERRARI; F8 TRIBUTO; 812 SUPERFAST; SF90; PORTOFINO; DAYTONA SP3; PISTA; LAFERRARI
BN	danone.com	DANONE SA	Consumer Staples	France	ACTIVIA; ACTIMEL; ALPRO; APTAMIL; EVIAN; FORTIMEL; NUTRICIA; OIKOS; VOLVIC; PROSTOKVASHINO
INVE B	investorab.com	INVESTOR CLASS B	Financials	Sweden	INVESTOR; EQT; ALECTA; PATIA; MÖLNLYCKE; NASDAQ CLEARING; ERICSSON CAPITAL; VECTURA FASTIGHETER; LABS2; KUNGSLEDEN
LONN	lonza.com	LONZA GROUP AG	Health Care	Switzerland	LONZA; CAPSIDGENE; MODA; NUTRAFEED; XCELLINE; LPBMEDIA; HELSINN; CUSTOMBATCH; QUADALOX; BIOVERYS
SREN	swissre.com	SWISS RE AG	Financials	Switzerland	SWISS RE; ELIPSLIFE; IPANEMA; MAGNUM CAT; SIGMA; CLIMATEMIND; COLORIDE; NATCATSERVICE; SOLEX; CYBER AFTERSHOCK
DSV	dsv.com	DSV	Industrials	Denmark	DSV; DSV AIR & SEA; DSV ROAD; DSV SOLUTIONS; SHIPIT; SKYTRACE; FLOWCAST; MARTRACK; SPEEDYBOX; DSV PANALPINA
NDA FI	nordea.com	NORDEA BANK	Financials	Finland	NORDEA; LIVETSSPARA; NORDEA CONNECT; BETALINGAR; BOLIGLÅN; SWIFTGO; NORDEA INVEST; NYKREDIT; LOANSOP; SMARTRADE
DHL	dhl.com	DEUTSCHE POST AG	Industrials	Germany	DHL; DEUTSCHE POST; PACKSTATION; POSTIDENT; PARCELCUBE; PARCELFEEDBACK; GREENPLAN; STREETSCOUTER; EASYLOG; GO GREEN
EXPN	experianplc.com	EXPERIAN PLC	Industrials	United Kingdom	EXPERIAN; CREDITEXPERT; BOOST; POWERCURVE; ASCEND; CLEARSHIFT; AUTOCHECK; GAUGE; SIMPLICITY; TRIGGER
RKT	reckitt.com	RECKITT BENCKISER GROUP PLC	Consumer Staples	United Kingdom	DETTOL; LYSOL; VANISH; FINISH; DUREX; NURSEM; CILLIT BANG; CLEARASIL; NUK; ENFAMIL
GLE	societegenerale.com	SOCIETE GENERALE SA	Financials	France	SOCIETE GENERALE; BOURSORAMA; ALD AUTOMOTIVE; LYXOR; FORGE; SG MARKETS; SG PROTECT; GLOBAL TRANSACTION BANKING; SG SECURITIES; HELLO BANK PRO
HLN	haleon.com	HALEON PLC	Health Care	United Kingdom	SENSODYNE; PARADONTAX; VOLTAREN; PANADOL; POLIDENT; NICORETTE; OTRIVIN; CENTERFRESH; FLONASE; ADVANTEX
